ke	k @
nya	NJ @
iya	i j a
ba	b a
dua	d u w a
sida	s i d a
puluh	p u l o h
raban	r a b a n
lalu	l a l u
agi	a g i
orang	o r a NG
dot	d o t
ribu	r i b u
perintah	p @ r i n t a h
tiga	t i g a
menteri	m @ n t @ r i
taun	t aw n
dalam	d a l a m
kena	k @ n @
madah	m a d a h
satu	s a t u
baru	b a r u
rumah	r u m a h
belas	b @ l a s
bansa	b a n s a
ratus	r a t u s
patut	p a t u t
mensia	m @ n s j a
empat	@ m p a t
pekara	p @ k a r @
enam	@ n a m
diri	d i r i
lebuh	l @ b o h
diatur	d i a t o
sembilan	s @ m b i l a n
meri	m @ r i
semua	s @ m w a
datai	d a t aj
kemari	k @ m a r i
aku	a k u
tau	t aw
kami	k a m i
nengah	n @ NG a h
tujuh	t u dZ o h
dikena	d i k @ n @
ati	a t i
manah	m a n a h
atur	a t o
projek	p r o dZ e KK
tanah	t a n a h
pelajar	p @ l a dZ a
dagang	d a g a NG
penemu	p @ n @ m u
bn	b i e n
siti	s i t i
tuai	t w aj
anak	a n a KK
kandang	k a n d a NG
penerang	p @ n @ r a NG
tadi	t a d i
pesisir	p @ s i s e r
taja	t a dZ @
berita	b @ r i t @
kepala	k @ p a l @
sepuluh	s @ p u l o h
aum	e j u e m
lebih	l @ b e h
parlimen	p a r l i m @ n
ketuai	k @ t w aj
iban	i b a n
sibu	s i b u
mujur	m u dZ o
asal	a s a l
kuching	k u tS i NG
diberi	d i b @ r i
pengajar	p @ NG a dZ a
dayak	d a j a KK
sungai	s u NG aj
komiti	k o m i t i
kampung	k a m p o NG
bulan	b u l a n
duit	d u e t
kompeni	k o m p @ n i
buah	b w a h
sebelas	s @ b @ l a s
barang	b a r a NG
nama	n a m @
endang	@ n d a NG
adun	a d u n
presiden	p r e s i d @ n
politik	p o l i t i KK
apai	a p a i
pengarang	p @ NG a r a NG
amat	a m a t
malam	m a l a m
tinggi	t i NG g i
bilik	b i l e KK
dulu	d u l u
kapit	k a p i t
poin	p oj n
seratus	s @ r a t u s
naka	n a k a
peminta	p @ m i n t @
miri	m i r i
tanggung	t a NG g o NG
bintulu	b i n t u l u
pemutus	p @ m u t u s
sigi	s i g i
muda	m u d @
kes	k @ s
pasal	p a s a l
taib	t aj b
belanja	b @ l a n dZ @
masuk	m a s o KK
spdp	e s p i d i p i
bagi	b a g i
luar	l w a
tuju	t u dZ u
ekonomi	e k o n o m i
juta	dZ u t a
napi	n a p i
runding	r u n d i NG
kala	k a l a
anang	a n a NG
pukul	p u k u l
pagi	p a g i
baruh	b a r o h
adat	a d a t
gaya	g a j @
barisan	b a r i s a n
lumur	l u m o
ruang	r w a NG
batang	b a t a NG
serata	s @ r a t a
prs	p i a r e s
pemanah	p @ m a n a h
supp	e s j u p i p i
kuasa	k w a s a
meh	m e h
belajar	b @ l a dZ a
awak	a w a KK
dunya	d u NJ @
peluang	p @ l w a NG
direktor	d i r e KK t o
lelaki	l @ l a k i
pengatur	p @ NG a t o
kurang	k u r a NG
ulu	u l u
guna	g u n @
abang	a b a NG
pemakai	p @ m a k aj
seri	s @ r i
sebarang	s @ b a r a NG
jkkk	dZ e k e k e k e
ditemu	d i t @ m u
minggu	m i NG g u
genap	g @ n a p
mawan	m a w a n
terus	t @ r u s
ubah	u b a h
pasar	p a s a r
sistem	s i s t @ m
sebuah	s @ b w a h
tun	t u n
batu	b a t u
jabu	dZ a b u
mohd	m o h a m a t
seraya	s @ r a j a
ncr	e n s i a r
universiti	u n i v @ r s i t i
rakyat	r a KK j a t
gawai	g a w aj
penyakit	p @ NJ a k e t
jauh	dZ a o h
teknologi	t e KK n o l o g i
sk	e s k e
menang	m @ n a NG
kayu	k a j u
lumba	l u m b @
bumiputera	b u m i p u t @ r @
pkr	p i k e a r
pupu	p u p u
berhad	b @ r h a d
kedai	k @ d aj
sekali	s @ k a l i
pulai	p u l aj
produk	p r o d u KK
tiap	t j a p
dipilih	d i p i l e h
antu	a n t u
smk	e s e m k e
tasik	t a s e KK
ditanya	d i t a NJ @
milih	m i l e h
masing	m a s i NG
balat	b a l a t
pbb	p i b i b i
dipinta	d i p i n t a
dap	d a p
balai	b a l aj
komuniti	k o m u n i t i
lubok	l u b o KK
residen	r e s i d @ n
pemberita	p @ m b @ r i t @
tengah	t @ NG a h
rebak	r @ b a KK
kediri	k @ d e r i
bini	b i n i
getah	g @ t a h
nanga	n a NG @
sawit	s a w i t
sarikei	s a r i k @ i
kasih	k a s e h
api	a p i
patinggi	p a t i NG g i
undi	u n d i
siku	s i k u
betong	b @ t o NG
bekal	b @ k a l
johari	dZ o h a r i
kedua	k @ d w a
pesaka	p @ s a k @
lantang	l a n t a NG
aktiviti	a KK t i v i t i
sendirian	s @ n d i r i a n
sebilik	s @ b i l i KK
meransang	m @ r a n s a NG
diterima	d i t @ r i m a
berat	b @ r a t
utusan	u t u s a n
minyak	m i NJ a KK
sapa	s a p a
lagu	l a g u
pehin	p @ h i n
dijual	d i dZ w a l
penyambung	p @ NJ a m b o NG
niang	n j a NG
sehari	s @ h a r i
undang-undang	u n d a NG u n d a NG
pengundi	p @ NG u n d i
awang	a w a NG
tambah	t a m b a h
berumah	b @ r u m a h
bukit	b u k e t
tr	t i a r
kanowit	k a n o w i t
betul	b @ t u l
antara	a n t a r a
dibuka	d i b u k @
muka	m u k @
rajang	r a dZ a NG
julau	dZ u l aw
salang	s a l a NG
ikan	i k a n
kali	k a l i
julai	dZ u l aj
semenanjung	s @ m @ n a n dZ o NG
jari	dZ a r i
tinggal	t i NG g a l
berunding	b @ r u n d i NG
polisi	p o l i s i
mua	m w a
kemas	k @ m a s
oktober	o KK t o b @
setengah	s @ t @ NG a h
gelar	g @ l a
bidayuh	b i d a j o h
konsep	k o n s e p
tebal	t @ b a l
kelab	k @ l a b
razak	r a z a KK
melayu	m @ l a j u
taman	t a m a n
semak	s @ m a KK
tentu	t @ n t u
samarahan	s a m a r a h a n
majlis	m a dZ l i s
tetap	t @ t a p
peratus	p @ r a t u s
latih	l a t e h
terima	t @ r i m @
kategori	k a t @ g o r i
hektar	h e KK t a
bidang	b i d a NG
tegap	t @ g a p
mp	e m p i
dadah	d a d a h
alah	a l a h
ujung	u dZ o NG
pintu	p i n t u
maju	m a dZ u
rayong	r a j o NG
kebun	k @ b u n
darah	d a r a h
sains	s aj n s
januari	dZ a n w a r i
penghulu	p @ NG h u l u
filem	f i l @ m
selangau	s @ l a NG aw
demokratik	d e m o k r a t i KK
kualiti	k w a l i t i
umur	u m o r
tanda	t a n d @
gaji	g a dZ i
saratok	s a r a t o KK
soldadu	s o l d a d u
pengangkut	p @ NG a NG k u t
teknikal	t e KK n i k a l
ogos	o g @ s
sng	e s e n dZ i
tiong	t i o NG
serian	s @ r i a n
bujang	b u dZ a NG
tubuh	t u b o h
atas	a t a s
belaga	b @ l a g @
agih	a g e h
mrp	e m a r p i
mudah	m u d a h
sakit	s a k e t
pibg	p i aj b i dZ i
mesti	m @ s t i
ampuh	a m p o h
datu	d a t u
kota	k o t a
komponen	k o m p o n @ n
penuh	p @ n o h
padang	p a d a NG
leka	l @ k @
penan	p @ n a n
proses	p r o s e s
mangku	m a NG k u
timbal	t i m b a l
kerusi	k @ r u s i
unimas	j u n i m a s
disember	d i s @ m b e
hulu	h u l u
diguna	d i g u n @
segi	s @ g i
penerima	p @ n @ r i m a
anugerah	a n u g @ r a h
mukah	m u k a h
infrastruktur	i n f r a s t r u KK t o
uggah	u g a h
tanjung	t a n dZ o NG
selalu	s @ l a l u
rela	r e l @
kabinet	k a b i n @ t
bajet	b a dZ e t
bas	b a s
pelagus	p @ l a g u s
limbang	l i m b a NG
sektor	s e KK t o
kelas	k @ l a s
bersatu	b @ r s a t u
pusat	p u s a t
pala	p a l a
negeri	n @ g @ r i
marudi	m a r u d i
kebangsaan	k @ b a NG s a KK a n
tekat	t @ k a t
berubat	b @ r u b a t
baleh	b a l e h
akta	a KK t a
sebulan	s @ b u l a n
berani	b @ r a n i
nyawa	NJ a w @
progresif	p r o g r e s i f
seksyen	s @ KK SS @ n
klinik	k l i n i KK
kaki	k a k i
sejarah	s @ dZ a r a h
kolej	k o l @ dZ
masir	m a s e
koperasi	k o p @ r a s i
gambar	g a m b a
laki	l a k i
nyebut	NJ @ b u t
kenu	k e n u
dibanding	d i b a n d i NG
kad	k a d
rundi	r u n d i
pr	p i a r
keadilan	k @ a d e l a n
eksekutif	e KK s @ k u t i f
peransang	p @ r a n s a NG
berubah	b @ r u b a h
sekolah	s @ k o l a h
pulau	p u l aw
tukang	t u k a NG
dibantai	d i b a n t aj
bandaraya	b a n d a r a j a
disebut	d i s @ b u t
tegal	t @ g a l
openg	o p e NG
mih	m i h
inovasi	i n o v a s i
ikom	i k o m
gading	g a d i NG
diasuh	d i a s o h
rh	a r h e tS
mpp	e m p i p i
beberapa	b @ b @ r a p a
pegawai	p @ g a w aj
jasa	dZ a s a
sambil	s a m b e l
dibayar	d i b a j a
bau	b aw
datin	d a t i n
khas	x a s
jkm	dZ e k e e m
biak	b j a KK
rindu	r i n d u
operasi	o p @ r a s i
hak	h a KK
ii	aj aj
wisma	w i s m @
inisiatif	i n i s j a t i f
bawang	b a w a NG
nanta	n a n t a
pandak	p a n d a KK
numpang	n u m p a NG
baya	b a j a
spr	e s p i a r
jkr	dZ e k e a r
entulu	@ n t u l u
chermin	tS @ r m i n
haji	h a dZ i
akademik	a k a d @ m i KK
berikan	b @ r i k a n
seranta	s @ r a n t @
survei	s @ v e
kilang	k i l a NG
rambai	r a m b aj
insentif	i n s e n t i f
parit	p a r i t
pakan	p a k a n
taska	t a s k a
kapal	k a p a l
kpg	k e p i dZ i
atm	e t i e m
ditangkap	d i t a NG k a p
dbku	d i b i k e j u
suarah	s w a r a h
mati	m a t i
oku	o k u
komputer	k o m p u t @
belakang	b @ l a k a NG
muhyiddin	m u h i d i n
kira	k i r @
mendam	m @ n d a m
pendam	p @ n d a m
spm	e s p i e m
ketiga	k @ t i g @
muji	m u dZ i
merdeka	m @ r d e k a
pakar	p a k a
ngemah	NG @ m a h
kristian	k r i s t j @ n
tambang	t a m b a NG
saberkas	s a b @ r k a s
ak	a KK
ringin	r i NG i n
ditambah	d i t a m b a h
linggi	l i NG g i
lanang	l a n a NG
jemut	dZ @ m u t
karnival	k a r n i v @ l
tiang	t j a NG
tamin	t a m i n
junaidi	dZ u n aj d i
tabika	t a b i k a
padawan	p a d a w a n
entri	e n t r i
chukai	tS u k aj
lembaga	l @ m b a g a
tebing	t @ b i NG
tabuan	t a b w a n
sosial	s o SS @ l
biru	b i r u
pengarah	p @ NG a r a h
dibuai	d i b w aj
tabung	t a b o NG
bahasa	b a h a s @
tadika	t a d i k @
ladang	l a d a NG
pindah	p i n d a h
lundu	l u n d u
setuju	s @ t u dZ u
pilih	p i l e h
pengering	p @ NG @ r i NG
dijaga	d i dZ a g @
bangkai	b a NG k aj
bakun	b a k u n
kampus	k a m p u s
dibantu	d i b a n t u
lingga	l i NG g @
kaunter	k aw n t e
diajar	d i a dZ a
yayasan	j a j a s a n
simunjan	s i m u n dZ a n
enggau	@ NG g aw
pengawa	p @ NG a w @
menua	m @ n w a
deka	d e k a
ngagai	NG a g aj
sereta	s @ r e t a
udah	u d a h
bisi	b i s i
enda	e n d @
mayuh	m a j o h
ulih	u l e h
nyadi	NJ a d i
opis	o p i s
rayat	r a j a t
kitai	k i t a i
madahka	m a d a h k a
pemansang	p @ m a n s a NG
tauka	t aw k a
nembiak	n @ m b j a KK
bukai	b u k @ i
enti	e n t i
besai	b @ s aj
pengerami	p @ NG @ r a m i
ngambika	NG a m b i k a
iku	i k u
ditu	d i t u
palan	p a l a n
diatu	d i a t u
jalai	dZ a l aj
nengeri	n e NG @ r i
nadai	n a d aj
semina	s @ m i n @
kaban	k a b a n
jaku	dZ a k u
sitak	s i t a KK
kelimpah	k @ l i m p a h
ngaga	NG a g @
ukai	u k aj
gerempung	g @ r @ m p o NG
bejaku	b @ dZ a k u
nerima	n @ r i m @
ngembuan	NG @ m b u a n
indu	i n d u
endur	e n d o
bekaul	b @ k o l
bepilih	b @ p i l e h
penanggul	p @ n a NG g u l
nyengkaum	NJ @ NG k a u m
urung	u r o NG
bejalaika	b @ dZ a l aj k a
sapit	s a p i t
ngena	NG @ n @
pelilih	p @ l i l e h
nitihka	n i t e h k a
panjai	p a n dZ aj
kunsil	k u n s e l
sekeda	s @ k @ d a
digaga	d i g a g a
ungkup	u NG k o p
pemesai	p @ m @ s aj
penyampau	p @ NJ a m p aw
nemu	n @ m u
empu	@ m p u
gawa	g a w a
penusah	p @ n u s a h
ngulu	NG u l u
pendiau	p @ n d i aw
bengkah	b @ NG k a h
ngatur	NG a t o
entara	@ n t a r @
temuai	t @ m w aj
kusung	k u s o NG
pekit	p @ k e t
ketegal	k @ t @ g a l
perengka	p @ r @ NG k a
dipejalaika	d i p @ dZ a l aj k a
kelebih	k @ l @ b e h
berengkah	b @ r @ NG k a h
mantu	m a n t u
ngambi	NG a m b i
pengari	p @ NG a r i
diau	d i aw
tikas	t i k a s
seiku	s @ i k u
sebedau	s @ b @ d aw
ngarapka	NG a r a p k a
genturung	g @ n t u r o NG
begulai	b @ g u l @ i
bejadika	b @ dZ a d i k a
indai	i n d @ i
sebengkah	s @ b @ NG k a h
pengelikun	p @ NG @ l i k u n
ngangkatka	NG a NG k a t k a
pengerai	p @ NG @ r aj
chalun	tS a l u n
pengelandik	p @ NG @ l a n d e KK
pengidup	p @ NG i d o p
utai	u t aj
pampang	p a m p a NG
penatai	p @ n a t aj
benung	b @ n o NG
kebuah	k @ b w a h
penuduk	p @ n u d o KK
penyakal	p @ NJ a k a l
chukup	tS u k o p
pemujur	p @ m u dZ o
iti	aj t i aj
pengelantang	p @ NG @ l a n t a NG
majak	m a dZ a KK
mansutka	m a n s u t k a
renggat	r @ NG g a t
sepengudah	s @ p @ NG u d @
ngemansangka	NG @ m a n s a NG k @
pemisi	p @ m i s i
nambahka	n a m b a h k a
berindik	b @ r i n d e KK
bedau	b e d aw
lemai	l @ m aj
nyuaka	NJ w a k @
ulah	u l a h
tembu	t @ m b u
apin	a p i n
sukung	s u k o NG
nyukung	NJ u k o NG
nambah	n a m b a h
bendar	b @ n d a r
persin	p @ r s i n
begunaka	b @ g u n a k a
ngemeratka	NG @ m e r a t k a
keterubah	k @ t @ r u b a h
bulih	b u l e h
pengereja	p @ NG @ r @ dZ a
berebak	b @ r @ b a KK
seruran	s @ r o r a n
timpuh	t i m p o h
ngelalau	NG @ l a l aw
ngintu	NG i n t u
mantaika	m a n t aj k a
rampa	r a m p a
senentang	s @ n @ n t a NG
penguntung	p @ NG u n t o NG
munyi	m u NJ i
asil	a s e l
pemadu	p @ m a d u
sekretari	s e k r e t a r i
ensanus	e n s e n @ s
macham	m a tS a m
nentuka	n @ n t o k a
sebaka	s @ b a k @
mengeri	m @ NG @ r i
beguna	b @ g u n @
betanam	b @ t a n a m
megai	m e g a i
juluk	dZ u l o KK
nyendiaka	NJ @ n d j a k a
makai	m a k aj
ninting	n i n t i NG
ngereja	n g @ r e dZ @
ngenataika	NG @ n @ t aj k a
ngarika	NG a r i k a
ngujungka	NG u dZ o NG k a
jemah	dZ @ m a h
endar	e n d @
nyadika	NJ a d i k a
perambu	p @ r a m b u
pengarap	p @ NG a r a p
mandangka	m a n d a NG k a
beratika	b @ r a t i k a
betupi	b @ t o p i
nyerumba	NJ @ r u m b @
peranak	p @ r a n a KK
teulihka	t @ u l e h k a
numbuhka	n u m b o h k a
nyangka	NJ a NG k @
kerejasama	k @ r e dZ @ s a m @
ngulihka	NG u l e h k a
mutarka	m u t a k a
nyaga	NJ a g @
suah	s w a h
nyin	NJ i n
enggai	@ NG g a i
bebendar	b @ b @ n d a r
ngiga	NG i g @
dikerandau	d i k @ r a n d aw
ngenang	NG @ n a NG
ngasuh	NG a s o h
dipeda	d i p @ d a
nyentukka	NJ @ n t o KK k a
nganjung	NG a n dZ o NG
kereja	k @ r @ dZ a
serakup	s @ r a k o p
nganti	NG a n t i
mengkang	m @ NG k a NG
bediri	b @ d e r i
penyerakup	p @ NJ @ r a k o p
nemuai	n @ m w aj
pangan	p a NG a n
ngetanka	NG @ t a n k @
swp	e s d a b l j u p i
silik	s i l e KK
tandu	t a n d u
penyalah	p @ NJ @ l a h
dikereja	d i k @ r @ dZ a
pansik	p e n z i KK
nyentuk	NJ @ n t o KK
perais	p @ r e
ngasaika	NG a s a i k a
beserimbai	b @ s @ r i m b aj
betemu	b @ t @ m u
aruh	a r o h
ngemanahka	NG @ m a n a h k a
gerija	g @ r i dZ a
nyau	NJ aw
mayar	m a j a
sepital	s @ p i t @ l
pemadah	p @ m a d a h
nandu	n a n d u
manggai	m a NG g a i
kerita	k @ r i t @
ijinsi	i dZ i n s i
landik	l e n d i KK
belabuh	b @ l a b o h
mungkur	m u NG k o
dibai	d i b aj
nerangka	n @ r a NG k @
dipelaba	d i p @ l a b @
kenyau	k @ NJ aw
ngajar	NG a dZ a
arapka	a r a p k a
bekenaka	b @ k @ n a k a
bilun	b i l u n
mansang	m a n s a NG
bejalai	b @ dZ a l a i
pengintu	p @ NG i n t u
berasai	b @ r a s @ i
semampai	s @ m a m p aj
ngira	NG i r @
seduai	s @ d w a i
kediatu	k @ d j a t u
peresa	p @ r i s @
nguji	NG u dZ i
progrem	p r o g r e m
berandau	b @ r a n d aw
pejalai	p @ dZ a l a i
ditumbuhka	d i t u m b o h k a
ngemujurka	NG @ m u dZ o r k a
ngelama	NG @ l a m @
ditapi	d i t a p i
nanam	n a n a m
ungkus	u NG k u s
kelalu	k @ l a l u
nyual	NJ u @ l
kimpin	k i m p i n
nempa	n @ m p @
dipelabaka	d i p @ l a b a k a
bepanggai	b @ p a NG g aj
sekalika	s @ k a l i k a
nyaup	NJ a o p
engkilili	@ NG k i l i l i
diambi	d i a m b i
pemayuh	p @ m a j o h
ngemeranka	NG @ m @ r a n k @
pengudah	p @ NG u d a h
ngerembaika	NG @ r @ m b aj k a
ditetapka	d i t @ t a p k a
dipegai	d i p @ g a i
ngayanka	NG a j a n k @
mansik	m a n s e KK
peneleba	p @ n @ l e b a
pengeraja	p @ NG @ r a dZ @
beresi	b e r e s i
setipikit	s @ t i p i k e t
sdnu	e s d i e n u
nyeliahka	NJ @ l j a h k a
nyapai	NJ a p aj
bup	b a p
dianjung	d i a n dZ o NG
nulung	n u l o NG
dikemendarka	d i k @ m @ n d a r k a
digulu	d i g u l u
sepemanjai	s @ p @ m a n dZ a i
narit	n a r e t
betapi	b @ t a p i
engkeman	@ NG k @ m @ n
merambu	m @ r a m b u
dipenyadika	d i p @ NJ a d i k a
ngerejister	NG @ r @ dZ i s t @
kededua	k @ d @ d w @
dibandingka	d i b a n d i NG k a
pemendar	p @ m @ n d a r
disediaka	d i s @ d j a k a
dipadah	d i p a d a h
ngubah	NG u b a h
nagang	n a g a NG
penyarut	p @ NJ a r u t
pechaya	p @ tS h a j a
kemaya	k @ m a j a
beumur	b @ u m o
jampat	dZ a m p a t
pemeri	p @ m @ r i
licha	l aj s i e tS e
dudi	d u d i
nampung	n a m p o NG
sepenyampau	s @ p @ NJ a m p aw
ngurangka	NG u r a NG k @
ngelaban	NG @ l a b a n
likun	l i k u n
ukum	u k o m
tebilang	t @ b i l a NG
beduduk	b @ d u d o KK
nitihku	n i t e h k u
ripot	r i p o t
puku	p u k u
randau	r a n d aw
mimit	m i m i t
gaga	g a g a
langgur	l a NG g o
penemuai	p @ n @ m w aj
pemeresi	p @ m @ r e s i
seraban	s @ r a b a n
nyambung	NJ a m b o NG
chakah	tS a k a h
diperambu	d i p @ r a m b u
ngemendarka	n dZ m @ n d a r k a
kelia	k @ l j a
awakka	a w a KK k a
primari	p r i m a r i
temegah	t @ m @ g a h
nyema	NJ e m a
muntang	m u n t a NG
mandal	m a n d a l
begempung	b @ g @ m p o NG
bebelika	b @ b @ l i k a
betuaika	b @ t w a i k a
ke-tiga	k e t i g @
jts	dZ e t i e s
jematan	dZ @ m a t a n
chunto	tS u n t o
nyukat	NJ u k a t
miliun	m i l j u n
ambika	a m b i k a
ngeluarka	NG @ l w a k a
pemerat	p @ m @ r a t
antarabansa	a n t a r a b a n s a
nitih	n i t e h
bepun	b @ p u n
ngeruga	NG @ r u g @
diintu	d i i n t u
bebadi	b @ b a d i
idup	i d o p
ngansak	NG a n s a KK
meresa	m @ r e s a
beempu	b i e m p i j u
disadang	d i s a d a NG
bekau	b @ k aw
nyikap	NJ i k a p
dipansutka	d i p a n s u t k a
besemekih	b @ s @ m @ k e h
tebuka	t @ b u k @
disempulang	d i s @ m p u l a NG
nuntung	n u n t o NG
ngelawa	NG @ l a w @
bepelasarka	b @ p @ l a s a k a
nurun	n u r u n
pengabis	p @ NG a b i s
nyulut	NJ u l u t
diungkupka	d i u NG k o p k a
bejual	b @ dZ w a l
belama	b @ l a m @
nyalau	NJ a l aw
riput	r i p u t
pinchin	p i n tS i n
muai	m w a i
ensana	e n s a n a
dipadahka	d i p a d a h k a
kelai	k @ l aj
besaup	b @ s aw o p
nuju	n u dZ u
ninga	n i NG @
ujan	u dZ a n
dikumbai	d i k u m b aj
netapka	n @ t a p k a
br	b r
dipejalai	d i p @ dZ a l a i
nguntungka	NG u n t o NG k a
peneka	p @ n @ k a
jelu	dZ @ l u
tanggungpengawa	t a NG g o NG p @ NG a w @
penegap	p @ n @ g a p
sedadu	s @ d a d u
pengulu	p @ NG u l u
dikelala	d i k @ l a l a
pansut	p a n s o t
dikemeratka	d i k @ m e r a t k a
setipak	s @ t i p a KK
tumu	t u m u
tikit	t i k e t
pengerindu	p @ NG @ r i n d u
nyambut	NJ a m b u t
nutup	n u t o p
kpdnkk	k e p i d i e n k e k e
bekebun	b @ k @ b u n
empai	e m p aj
dipadu	d i p a d u
semaya	s @ m a j a
beserakup	b @ s @ r a k o p
bekerejasama	b @ k @ r e dZ @ s a m @
meruan	m @ r u a n
puang	p w a NG
perengkaguna	p @ r @ NG k a g u n a
pelin	p @ l i n
besekula	b @ s @ k u l a
abis	a b i s
pegai	p @ g a i
sesebengkah	s @ s @ b @ NG k a h
penumbuh	p @ n u m b o h
ngelingi	NG @ l i NG i
negapka	n e g a p k a
uras	u r a s
pemansik	p @ m a n s i KK
lengkas	l @ NG k a s
setaun	s @ t a u n
kebukai	k @ b u k @ i
diputarka	d i p u t a k a
dilalau	d i l a l aw
arap	a r a p
ngelakuka	NG @ l a k u k a
makit	m a k e t
sekondari	s @ k o n d a r i
berega	b @ r @ g a
pengelama	p @ NG @ l a m @
ngelala	NG @ l a l a
matau	m a t aw
kereban	k @ r @ b a n
nguna	NG u n a
kenaka	k @ n a k a
sebana	s @ b a n a
lalau	l a l aw
injin	i n dZ i n
ngetu	NG @ t o
meretika	m @ r e t i k @
dikuasa	d i k w a s @
sempekat	s @ m p @ k a t
ibuh	i b u h
bakani	b a k a n i
tulung	t u l o NG
cherita	tS @ r i t @
ngatika	NG a t i k a
magang	m a g a NG
nyungkak	NJ u NG k a KK
ngungkupka	NG u NG k o p k a
